lsm_id,section_type,structure_pattern,rhythm_profile,rhyme_profile,emotional_arc,viral_trigger,platform_fit,genre_adaptability,notes
LSM-0001,hook,hook_first,short_punchy,dense_end_rhyme,rise,repeatable_phrase,tiktok_soundbite,cross_genre,classic_open_with_hook_pattern
LSM-0002,hook,ab_ab,short_punchy,light_internal,release,shout_along,both,rock_friendly,good_for_call_response_crowd_energy
LSM-0003,verse,ab_ab,long_flowing,near_rhyme,reflection,story_pull,full_song_streaming,cross_genre,used_to_build_world_and_context
LSM-0004,pre_chorus,build_drop,short_punchy,dense_end_rhyme,tension_build,anticipation_line,both,cross_genre,often_climbs_pitch_or_intensity
LSM-0005,bridge,twist_section,long_flowing,light_internal,twist,new_perspective,both,cross_genre,reset_or_flip_before_final_hook
LSM-0006,intro,hook_teaser,short_punchy,near_rhyme,rise,preview_hook_line,tiktok_soundbite,cross_genre,great_for_snippets_and_loops
LSM-0007,outro,hook_fade,short_punchy,dense_end_rhyme,release,echo_hook,both,cross_genre,loop_friendly_if_last_word_matches_first
LSM-0008,hook,chant_block,short_punchy,no_rhyme,rise,group_chant,tiktok_soundbite,cumbia_reggae_friendly,works_well_with_percussion_heavy_grooves
LSM-0009,verse,hook_first,half_time,slant_rhyme,resolve,story_pull,both,trap_pop_friendly,verse_hook_first_half_time_slant_rhyme_resolve_story_pull_both_trap_pop_friendly_pattern_9
LSM-0010,outro,aa_bb,stop_start,dense_end_rhyme,rise,shout_along,shorts_reels,indie_pop,outro_aa_bb_stop_start_dense_end_rhyme_rise_shout_along_shorts_reels_indie_pop_pattern_10
LSM-0011,outro,hook_teaser,short_punchy,slant_rhyme,victory,echo_hook,shorts_reels,country_pop,outro_hook_teaser_short_punchy_slant_rhyme_victory_echo_hook_shorts_reels_country_pop_pattern_11
LSM-0012,tag,story_loop,short_punchy,near_rhyme,confession,preview_hook_line,full_song_streaming,edm_drop_friendly,tag_story_loop_short_punchy_near_rhyme_confession_preview_hook_line_full_song_streaming_edm_drop_friendly_pattern_12
LSM-0013,chorus,riff_based,mid_tempo_bounce,light_internal,confession,shout_along,full_song_streaming,rock_friendly,chorus_riff_based_mid_tempo_bounce_light_internal_confession_shout_along_full_song_streaming_rock_friendly_pattern_13
LSM-0014,tag,story_loop,short_punchy,alt_rhyme,victory,shout_along,album_listen,trap_pop_friendly,tag_story_loop_short_punchy_alt_rhyme_victory_shout_along_album_listen_trap_pop_friendly_pattern_14
LSM-0015,outro,one_liner,double_time,slant_rhyme,tension_build,repeatable_phrase,both,indie_pop,outro_one_liner_double_time_slant_rhyme_tension_build_repeatable_phrase_both_indie_pop_pattern_15
LSM-0016,post_chorus,aa_bb,laid_back,light_internal,confession,new_perspective,album_listen,cumbia_reggae_friendly,post_chorus_aa_bb_laid_back_light_internal_confession_new_perspective_album_listen_cumbia_reggae_friendly_pattern_16
LSM-0017,hook,aaba,double_time,mixed_scheme,resolve,caption_friendly,full_song_streaming,cumbia_reggae_friendly,hook_aaba_double_time_mixed_scheme_resolve_caption_friendly_full_song_streaming_cumbia_reggae_friendly_pattern_17
LSM-0018,verse,hook_teaser,long_flowing,slant_rhyme,release,group_chant,album_listen,acoustic_ballad,verse_hook_teaser_long_flowing_slant_rhyme_release_group_chant_album_listen_acoustic_ballad_pattern_18
LSM-0019,outro,call_response,double_time,dense_end_rhyme,resolve,shock_line,tiktok_soundbite,rock_friendly,outro_call_response_double_time_dense_end_rhyme_resolve_shock_line_tiktok_soundbite_rock_friendly_pattern_19
LSM-0020,bridge,story_loop,mid_tempo_bounce,slant_rhyme,melancholy_swell,relatable_line,full_song_streaming,indie_pop,bridge_story_loop_mid_tempo_bounce_slant_rhyme_melancholy_swell_relatable_line_full_song_streaming_indie_pop_pattern_20
LSM-0021,breakdown,rise_drop,syncopated,near_rhyme,twist,story_pull,shorts_reels,reggaeton_pop,breakdown_rise_drop_syncopated_near_rhyme_twist_story_pull_shorts_reels_reggaeton_pop_pattern_21
LSM-0022,outro,story_loop,stop_start,no_rhyme,nostalgia,anticipation_line,shorts_reels,reggaeton_pop,outro_story_loop_stop_start_no_rhyme_nostalgia_anticipation_line_shorts_reels_reggaeton_pop_pattern_22
LSM-0023,breakdown,aa_bb,short_punchy,light_internal,release,caption_friendly,shorts_reels,cumbia_reggae_friendly,breakdown_aa_bb_short_punchy_light_internal_release_caption_friendly_shorts_reels_cumbia_reggae_friendly_pattern_23
LSM-0024,bridge,hook_teaser,mid_tempo_bounce,no_rhyme,confession,transition_bait,album_listen,reggaeton_pop,bridge_hook_teaser_mid_tempo_bounce_no_rhyme_confession_transition_bait_album_listen_reggaeton_pop_pattern_24
LSM-0025,post_chorus,build_drop,short_punchy,light_internal,victory,singalong_moment,full_song_streaming,cumbia_reggae_friendly,post_chorus_build_drop_short_punchy_light_internal_victory_singalong_moment_full_song_streaming_cumbia_reggae_friendly_pattern_25
LSM-0026,hook,ab_cb,half_time,no_rhyme,release,group_chant,tiktok_soundbite,acoustic_ballad,hook_ab_cb_half_time_no_rhyme_release_group_chant_tiktok_soundbite_acoustic_ballad_pattern_26
LSM-0027,outro,aaba,mid_tempo_bounce,triple_rhyme,victory,transition_bait,shorts_reels,edm_drop_friendly,outro_aaba_mid_tempo_bounce_triple_rhyme_victory_transition_bait_shorts_reels_edm_drop_friendly_pattern_27
