ttk_id,concept_type,format_structure,payoff_timing,audio_focus,visual_hook_hint,viral_mechanism,loop_friendliness,recommended_duration_secs,notes
TTK-0001,challenge,hook_only,3_to_7s,vocal_hook,outfit_change,easy_to_copy,perfect_seam_loop,8,short_hook_everyone_can_lip_sync_to
TTK-0002,reveal_twist,build_then_drop,7_to_12s,beat_switch,cut_transition,shock_value_soft,good_enough_loop,12,start_calm_then_flip_beat_and_topic
TTK-0003,duet_bait,hook_only,under_3s,vocal_hook,reaction_face,high_relatability,perfect_seam_loop,6,leave_space_for_other_person_to_add_part
TTK-0004,transition,verse_to_hook,3_to_7s,beat_switch,camera_spin_orjump,visual_satisfaction,good_enough_loop,10,lyrics_reference_change_then_visual_flip
TTK-0005,meme_context,hook_only,under_3s,vocal_hook,simple_static_shot,meme_potential,perfect_seam_loop,7,line_that_fits_many_reaction_scenarios
TTK-0006,storytelling_clip,verse_to_hook,7_to_12s,vocal_hook,subtitles_andface,emotional_punch,good_enough_loop,15,short_story_that_resolves_in_hook
TTK-0007,reaction_stem,hook_only,under_3s,sound_effect,reaction_face,remixability,perfect_seam_loop,5,nonverbal_sound_people_can_use_as_reaction
TTK-0008,dance_loop,hook_only,3_to_7s,vocal_hook_anddrums,looped_dance_move,easy_to_copy,perfect_seam_loop,9,clear_rhythm_for_simple_repeatable_dance
TTK-0009,transition,hook_only,7_to_12s,sound_effect,emoji_spam,meme_potential,one_off_impact,7,meme_potential_transition_sound_effect
TTK-0010,POV_skit,hook_only,under_3s,beat_switch,looped_dance_move,participation_chain,one_off_impact,2,participation_chain_hook_only_beat_switch
TTK-0011,countdown_tease,problem_solution,3_to_7s,vocal_hook_anddrums,screen_record,flex_skills,perfect_seam_loop,4,screen_record_vocal_hook_anddrums_problem_solution
TTK-0012,meme_context,A_B_A_loop,7_to_12s,beat_switch,reaction_face,authority_flex,perfect_seam_loop,9,beat_switch_authority_flex_meme_context
TTK-0013,filter_flip,duet_ready,under_3s,callout_tag,reaction_face,satisfying_process,good_enough_loop,3,satisfying_process_duet_ready_callout_tag
TTK-0014,duet_bait,hook_only,3_to_7s,narration,reaction_face,participation_chain,perfect_seam_loop,6,narration_reaction_face_participation_chain
TTK-0015,behind_the_scenes,verse_to_hook,7_to_12s,acapella_loop,looped_dance_move,flex_skills,one_off_impact,12,behind_the_scenes_verse_to_hook_acapella_loop
TTK-0016,dance_loop,verse_to_hook,10_to_20s,callout_tag,caption_punch,satisfying_process,perfect_seam_loop,20,callout_tag_dance_loop_caption_punch
TTK-0017,reveal_twist,listicle_3,10_to_20s,narration,reaction_face,remixability,one_off_impact,15,listicle_3_reaction_face_remixability
TTK-0018,filter_flip,verse_to_hook,7_to_12s,bass_drop,emoji_spam,satisfying_process,one_off_impact,9,satisfying_process_emoji_spam_bass_drop
TTK-0019,stitch_prompt,listicle_3,3_to_7s,bass_drop,POV_handheld,fan_service,perfect_seam_loop,3,stitch_prompt_listicle_3_bass_drop
TTK-0020,storytelling_clip,problem_solution,15_to_30s,beat_switch,prop_reveal,authority_flex,one_off_impact,29,authority_flex_beat_switch_prop_reveal
TTK-0021,challenge,build_then_drop,15_to_30s,narration,slow_zoom,educational_value,perfect_seam_loop,24,slow_zoom_build_then_drop_educational_value
TTK-0022,challenge,call_and_response,15_to_30s,bass_drop,POV_handheld,visual_satisfaction,one_off_impact,24,visual_satisfaction_call_and_response_challenge
TTK-0023,behind_the_scenes,verse_to_hook,15_to_30s,glitch_cut,outfit_change,curiosity_gap,good_enough_loop,30,behind_the_scenes_curiosity_gap_verse_to_hook
TTK-0024,micro_tutorial,A_B_A_loop,under_3s,sound_effect,screen_record,high_relatability,perfect_seam_loop,3,micro_tutorial_A_B_A_loop_high_relatability
TTK-0025,caption_quiz,duet_ready,3_to_7s,narration,POV_handheld,curiosity_gap,good_enough_loop,4,curiosity_gap_duet_ready_narration
TTK-0026,micro_tutorial,problem_solution,7_to_12s,vocal_hook_anddrums,POV_handheld,co_creation,perfect_seam_loop,8,problem_solution_micro_tutorial_co_creation
TTK-0027,challenge,stitch_ready,15_to_30s,sound_effect,screen_record,participation_chain,perfect_seam_loop,17,challenge_stitch_ready_participation_chain
TTK-0028,reveal_twist,listicle_3,under_3s,glitch_cut,emoji_spam,flex_skills,one_off_impact,3,listicle_3_flex_skills_glitch_cut
TTK-0029,live_teaser,stitch_ready,10_to_20s,sound_effect,object_closeup,suspense_payoff,perfect_seam_loop,11,live_teaser_object_closeup_stitch_ready
TTK-0030,POV_skit,problem_solution,10_to_20s,vocal_hook,duet_layout,visual_satisfaction,perfect_seam_loop,16,vocal_hook_POV_skit_duet_layout
TTK-0031,reaction_stem,A_B_A_loop,15_to_30s,vocal_hook_anddrums,simple_static_shot,suspense_payoff,perfect_seam_loop,23,simple_static_shot_A_B_A_loop_reaction_stem
TTK-0032,filter_flip,duet_ready,under_3s,vocal_hook,slow_zoom,satisfying_process,perfect_seam_loop,2,duet_ready_satisfying_process_slow_zoom
TTK-0033,caption_quiz,POV_cutaway,3_to_7s,callout_tag,cut_transition,emotional_punch,good_enough_loop,3,cut_transition_callout_tag_POV_cutaway
TTK-0034,micro_tutorial,problem_solution,15_to_30s,vocal_hook_anddrums,simple_static_shot,remixability,good_enough_loop,21,micro_tutorial_remixability_vocal_hook_anddrums
TTK-0035,product_demo,hook_only,under_3s,silence_then_boom,object_closeup,transformation,one_off_impact,2,product_demo_transformation_object_closeup
TTK-0036,duet_bait,stitch_ready,under_3s,sound_effect,prop_reveal,visual_satisfaction,one_off_impact,2,visual_satisfaction_duet_bait_sound_effect
TTK-0037,duet_bait,problem_solution,15_to_30s,silence_then_boom,POV_handheld,educational_value,good_enough_loop,21,silence_then_boom_problem_solution_POV_handheld
TTK-0038,stitch_prompt,verse_to_hook,7_to_12s,vocal_hook_anddrums,split_screen,high_relatability,perfect_seam_loop,10,high_relatability_stitch_prompt_split_screen
TTK-0039,countdown_tease,A_B_A_loop,15_to_30s,narration,simple_static_shot,controversy_but_safe,perfect_seam_loop,22,narration_controversy_but_safe_countdown_tease
TTK-0040,filter_flip,duet_ready,7_to_12s,silence_then_boom,slow_zoom,transformation,perfect_seam_loop,12,transformation_silence_then_boom_slow_zoom
TTK-0041,transition,verse_to_hook,7_to_12s,beat_switch,camera_spin_orjump,satisfying_process,perfect_seam_loop,9,beat_switch_verse_to_hook_satisfying_process
TTK-0042,product_demo,A_B_A_loop,7_to_12s,glitch_cut,object_closeup,flex_skills,perfect_seam_loop,7,object_closeup_glitch_cut_product_demo
TTK-0043,challenge,listicle_3,3_to_7s,narration,subtitles_andface,co_creation,one_off_impact,6,co_creation_challenge_subtitles_andface
TTK-0044,duet_bait,verse_to_hook,15_to_30s,vocal_hook,on_beat_cuts,scarcity_timer,one_off_impact,19,on_beat_cuts_verse_to_hook_duet_bait
TTK-0045,micro_tutorial,listicle_3,under_3s,acapella_loop,looped_dance_move,participation_chain,one_off_impact,2,acapella_loop_looped_dance_move_participation_chain
TTK-0046,meme_context,A_B_A_loop,3_to_7s,bass_drop,facial_zoom,easy_to_copy,perfect_seam_loop,5,facial_zoom_A_B_A_loop_easy_to_copy
TTK-0047,storytelling_clip,build_then_drop,10_to_20s,vocal_hook,object_closeup,participation_chain,perfect_seam_loop,17,vocal_hook_participation_chain_storytelling_clip
TTK-0048,dance_loop,hook_only,3_to_7s,callout_tag,split_screen,flex_skills,perfect_seam_loop,5,callout_tag_split_screen_flex_skills
TTK-0049,countdown_tease,listicle_3,under_3s,beat_switch,caption_punch,emotional_punch,one_off_impact,3,countdown_tease_emotional_punch_beat_switch
TTK-0050,POV_skit,listicle_3,7_to_12s,callout_tag,greenscreen_effect,transformation,perfect_seam_loop,10,transformation_listicle_3_greenscreen_effect
TTK-0051,reveal_twist,problem_solution,under_3s,glitch_cut,overlay_graphics,remixability,good_enough_loop,3,reveal_twist_glitch_cut_overlay_graphics
TTK-0052,product_demo,build_then_drop,7_to_12s,glitch_cut,text_popups,suspense_payoff,good_enough_loop,10,glitch_cut_build_then_drop_product_demo
