atom_id,source_dataset_id,source_row_id,atom_category,primary_label,secondary_labels,attributes,tags,provenance,confidence,status,notes
vm_cpa:...:A,creative_partner_advice_map,...,situation_pattern,unknown_situation,"[null, null, null]","{""situation_category"": NaN, ""creator_thought"": NaN, ""emotional_state"": NaN, ""context_channel"": NaN, ""desired_outcome"": NaN, ""extra_notes"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern"", ""incomplete_row""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.5,active,incomplete_source_row
vm_cpa:...:B,creative_partner_advice_map,...,advice_pattern,unknown_advice_strategy,"[null, null, null]","{""advice_strategy"": NaN, ""core_advice_line"": NaN, ""expanded_advice"": NaN, ""follow_up_prompt_hint"": NaN, ""extra_notes"": NaN, ""situation_category"": NaN, ""creator_thought"": NaN, ""emotional_state"": NaN, ""context_channel"": NaN, ""desired_outcome"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern"", ""incomplete_row""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.5,active,incomplete_source_row
vm_cpa:CPAM_001:A,creative_partner_advice_map,CPAM_001,situation_pattern,collaboration_tension,"[""anxious"", ""music_production"", ""unblock_brainstorm""]","{""situation_category"": ""collaboration_tension"", ""creator_thought"": ""I don't know what to make next."", ""emotional_state"": ""anxious"", ""context_channel"": ""music_production"", ""desired_outcome"": ""unblock_brainstorm"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a music_production moment of collaboration_tension.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_001:B,creative_partner_advice_map,CPAM_001,advice_pattern,constraint_play,"[""unblock_brainstorm"", ""anxious"", ""music_production""]","{""advice_strategy"": ""constraint_play"", ""core_advice_line"": ""Shrink the playground: limit yourself on purpose."", ""expanded_advice"": ""Pick one constraint for this session: one mood"", ""follow_up_prompt_hint"": ""one tool"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a music_production moment of collaboration_tension."", ""situation_category"": ""collaboration_tension"", ""creator_thought"": ""I don't know what to make next."", ""emotional_state"": ""anxious"", ""context_channel"": ""music_production"", ""desired_outcome"": ""unblock_brainstorm""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_002:A,creative_partner_advice_map,CPAM_002,situation_pattern,stuck_on_idea,"[""quietly_excited"", ""business_ideation"", ""design_small_next_step""]","{""situation_category"": ""stuck_on_idea"", ""creator_thought"": ""My collaborator and I aren't aligned."", ""emotional_state"": ""quietly_excited"", ""context_channel"": ""business_ideation"", ""desired_outcome"": ""design_small_next_step"", ""extra_notes"": ""you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a business_ideation moment of stuck_on_idea.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_002:B,creative_partner_advice_map,CPAM_002,advice_pattern,tiny_commitment,"[""design_small_next_step"", ""quietly_excited"", ""business_ideation""]","{""advice_strategy"": ""tiny_commitment"", ""core_advice_line"": ""Promise yourself one tiny visible move"", ""expanded_advice"": ""nothing more."", ""follow_up_prompt_hint"": ""Commit to a step you could finish in ten to fifteen minutes. Once you complete it"", ""extra_notes"": ""you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a business_ideation moment of stuck_on_idea."", ""situation_category"": ""stuck_on_idea"", ""creator_thought"": ""My collaborator and I aren't aligned."", ""emotional_state"": ""quietly_excited"", ""context_channel"": ""business_ideation"", ""desired_outcome"": ""design_small_next_step""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_003:A,creative_partner_advice_map,CPAM_003,situation_pattern,sharing_work_nerves,"[""overstimulated"", ""music_songwriting"", ""set_kind_deadline""]","{""situation_category"": ""sharing_work_nerves"", ""creator_thought"": ""I'm scared to call this finished."", ""emotional_state"": ""overstimulated"", ""context_channel"": ""music_songwriting"", ""desired_outcome"": ""set_kind_deadline"", ""extra_notes"": ""specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of sharing_work_nerves.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_003:B,creative_partner_advice_map,CPAM_003,advice_pattern,time_boxing,"[""set_kind_deadline"", ""overstimulated"", ""music_songwriting""]","{""advice_strategy"": ""time_boxing"", ""core_advice_line"": ""Put the idea in a short timed box"", ""expanded_advice"": ""not a perfect cage."", ""follow_up_prompt_hint"": ""Decide on a short"", ""extra_notes"": ""specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of sharing_work_nerves."", ""situation_category"": ""sharing_work_nerves"", ""creator_thought"": ""I'm scared to call this finished."", ""emotional_state"": ""overstimulated"", ""context_channel"": ""music_songwriting"", ""desired_outcome"": ""set_kind_deadline""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_004:A,creative_partner_advice_map,CPAM_004,situation_pattern,low_energy,"[""anxious"", ""graphic_design"", ""regain_motivation""]","{""situation_category"": ""low_energy"", ""creator_thought"": ""I feel too tired to be creative."", ""emotional_state"": ""anxious"", ""context_channel"": ""graphic_design"", ""desired_outcome"": ""regain_motivation"", ""extra_notes"": ""or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a graphic_design moment of low_energy.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_004:B,creative_partner_advice_map,CPAM_004,advice_pattern,reference_inspiration,"[""regain_motivation"", ""anxious"", ""graphic_design""]","{""advice_strategy"": ""reference_inspiration"", ""core_advice_line"": ""Borrow structure from something you already like."", ""expanded_advice"": ""Choose a song"", ""follow_up_prompt_hint"": ""image"", ""extra_notes"": ""or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a graphic_design moment of low_energy."", ""situation_category"": ""low_energy"", ""creator_thought"": ""I feel too tired to be creative."", ""emotional_state"": ""anxious"", ""context_channel"": ""graphic_design"", ""desired_outcome"": ""regain_motivation""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_005:A,creative_partner_advice_map,CPAM_005,situation_pattern,overwhelmed_by_options,"[""frustrated"", ""short_form_video"", ""pick_one_idea_to_test""]","{""situation_category"": ""overwhelmed_by_options"", ""creator_thought"": ""I have too many ideas and can't choose one."", ""emotional_state"": ""frustrated"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""pick_one_idea_to_test"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use constraint_play for a short_form_video moment of overwhelmed_by_options.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_005:B,creative_partner_advice_map,CPAM_005,advice_pattern,constraint_play,"[""pick_one_idea_to_test"", ""frustrated"", ""short_form_video""]","{""advice_strategy"": ""constraint_play"", ""core_advice_line"": ""Shrink the playground: limit yourself on purpose."", ""expanded_advice"": ""Pick one constraint for this session: one mood"", ""follow_up_prompt_hint"": ""one tool"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use constraint_play for a short_form_video moment of overwhelmed_by_options."", ""situation_category"": ""overwhelmed_by_options"", ""creator_thought"": ""I have too many ideas and can't choose one."", ""emotional_state"": ""frustrated"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""pick_one_idea_to_test""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_006:A,creative_partner_advice_map,CPAM_006,situation_pattern,finishing_phase_anxiety,"[""tense"", ""visual_art"", ""finish_current_piece""]","{""situation_category"": ""finishing_phase_anxiety"", ""creator_thought"": ""I'm scared to call this finished."", ""emotional_state"": ""tense"", ""context_channel"": ""visual_art"", ""desired_outcome"": ""finish_current_piece"", ""extra_notes"": ""Ask: help me use separate_draft_and_edit for a visual_art moment of finishing_phase_anxiety.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_006:B,creative_partner_advice_map,CPAM_006,advice_pattern,separate_draft_and_edit,"[""finish_current_piece"", ""tense"", ""visual_art""]","{""advice_strategy"": ""separate_draft_and_edit"", ""core_advice_line"": ""Let messy draft you work"", ""expanded_advice"": ""let editor you wait."", ""follow_up_prompt_hint"": ""Give yourself permission to make a bad version on purpose. Editing becomes much easier and kinder when there is already something on the page. Remember that shipping a small version now often teaches you more than waiting for the perfect moment."", ""extra_notes"": ""Ask: help me use separate_draft_and_edit for a visual_art moment of finishing_phase_anxiety."", ""situation_category"": ""finishing_phase_anxiety"", ""creator_thought"": ""I'm scared to call this finished."", ""emotional_state"": ""tense"", ""context_channel"": ""visual_art"", ""desired_outcome"": ""finish_current_piece""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_007:A,creative_partner_advice_map,CPAM_007,situation_pattern,starting_new_project,"[""restless"", ""creative_writing"", ""design_small_next_step""]","{""situation_category"": ""starting_new_project"", ""creator_thought"": ""I want to start but keep procrastinating."", ""emotional_state"": ""restless"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""design_small_next_step"", ""extra_notes"": ""you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a creative_writing moment of starting_new_project.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_007:B,creative_partner_advice_map,CPAM_007,advice_pattern,tiny_commitment,"[""design_small_next_step"", ""restless"", ""creative_writing""]","{""advice_strategy"": ""tiny_commitment"", ""core_advice_line"": ""Promise yourself one tiny visible move"", ""expanded_advice"": ""nothing more."", ""follow_up_prompt_hint"": ""Commit to a step you could finish in ten to fifteen minutes. Once you complete it"", ""extra_notes"": ""you can either stop guilt-free or keep going with momentum. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use tiny_commitment for a creative_writing moment of starting_new_project."", ""situation_category"": ""starting_new_project"", ""creator_thought"": ""I want to start but keep procrastinating."", ""emotional_state"": ""restless"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""design_small_next_step""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
